date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:38	121/121	---MC-	200	added ('OK')	text/plain	date:Sat,%2012%20Nov%202022%2015:36:40%20GMT	https://www.gre.ac.uk/robots.txt		(from )
21:05:40	112606/112606	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2015:36:41%20GMT	https://www.gre.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web85/Site85/www.gre.ac.uk/index.html	(from )
21:05:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.gre.ac.uk/__data/assets/git_bridge/0023/51098/libraries/onetrust/consent/66a8ded1-40a9-4daf-8edb-f3941de76e8d/OtAutoBlock.js?h=9090911	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web85/Site85/www.gre.ac.uk/__data/assets/git_bridge/0023/51098/libraries/onetrust/consent/66a8ded1-40a9-4daf-8edb-f3941de76e8d/OtAutoBlock.0c6aa.delayed	(from https://www.gre.ac.uk/)
21:05:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/gre_22.css?h=9090916	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web85/Site85/www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/gre_2259ec.css	(from https://www.gre.ac.uk/)
21:05:41	8507/8507	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2012%20Nov%202022%2015:19:58%20GMT	https://www.gre.ac.uk/__data/assets/git_bridge/0023/51098/libraries/onetrust/consent/66a8ded1-40a9-4daf-8edb-f3941de76e8d/OtAutoBlock.js?h=9090911	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web85/Site85/www.gre.ac.uk/__data/assets/git_bridge/0023/51098/libraries/onetrust/consent/66a8ded1-40a9-4daf-8edb-f3941de76e8d/OtAutoBlockc6aa.js	(from https://www.gre.ac.uk/)
21:05:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/gre-app.css?h=9090924	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web85/Site85/www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/gre-appa7fa.css	(from https://www.gre.ac.uk/)
21:05:42	521282/521282	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Nov%202022%2015:19:57%20GMT	https://www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/gre_22.css?h=9090916	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web85/Site85/www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/gre_2259ec.css	(from https://www.gre.ac.uk/)
21:05:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/external/onetrust.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web85/Site85/www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/external/onetrust.css	(from https://www.gre.ac.uk/)
21:05:44	4737/4737	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Nov%202022%2015:19:58%20GMT	https://www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/gre-app.css?h=9090924	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web85/Site85/www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/gre-appa7fa.css	(from https://www.gre.ac.uk/)
21:05:44	317/317	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Nov%202022%2015:19:58%20GMT	https://www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/external/onetrust.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web85/Site85/www.gre.ac.uk/__data/assets/git_bridge/0023/51098/gre/_css/external/onetrust.css	(from https://www.gre.ac.uk/)
